gene_id,gene_name,gene_type,chr,X1kb_up_tss_start,strand,number_of_dbp
ENSG00000286436.1,AC099654.15,lncRNA,chr7,57139112,+,0
ENSG00000234089.2,AC099654.1,lncRNA,chr7,57221898,-,0
ENSG00000287517.1,AC099654.16,lncRNA,chr7,57241681,+,0
ENSG00000260653.6,AC237221.1,lncRNA,chr7,57403172,+,0
ENSG00000182111.9,ZNF716,protein_coding,chr7,57449177,+,0
ENSG00000227148.1,AC069285.2,lncRNA,chr7,63053432,-,0
ENSG00000244550.1,AC006455.8,lncRNA,chr7,63240646,-,0
ENSG00000226587.1,AC006455.1,lncRNA,chr7,63353327,-,0
ENSG00000230000.3,AC006455.5,lncRNA,chr7,63347861,+,0
ENSG00000229301.1,AC006455.4,lncRNA,chr7,63353457,+,0
ENSG00000230600.1,AC073188.3,lncRNA,chr7,63384790,-,0
ENSG00000232817.1,AC073188.4,lncRNA,chr7,63392658,-,0
ENSG00000227305.2,AC073188.2,lncRNA,chr7,63392745,+,0
ENSG00000234387.1,AC073188.5,lncRNA,chr7,63393277,+,0
ENSG00000268181.3,AC073188.6,lncRNA,chr7,63398251,-,0
ENSG00000236299.8,AC092634.4,lncRNA,chr7,63899795,-,0
ENSG00000226581.2,LINC02848,lncRNA,chr7,63899313,+,0
ENSG00000287588.1,AC092634.8,lncRNA,chr7,63924832,+,0
ENSG00000284534.1,AC092634.7,lncRNA,chr7,63980478,-,0
ENSG00000241149.3,AC115220.1,protein_coding,chr7,63997874,+,0
ENSG00000228564.2,LINC01005,lncRNA,chr7,64029106,-,0
ENSG00000286397.1,AC115220.3,lncRNA,chr7,64036959,-,0
ENSG00000285544.1,AC115220.2,lncRNA,chr7,64044429,+,0
ENSG00000214652.6,ZNF727,protein_coding,chr7,64044434,+,0
ENSG00000229881.1,AC091685.1,lncRNA,chr7,64139495,+,0
ENSG00000223614.5,ZNF735,protein_coding,chr7,64206090,+,0
ENSG00000197123.9,ZNF679,protein_coding,chr7,64227474,+,0
ENSG00000287699.1,AC073270.1,lncRNA,chr7,64299819,-,0
ENSG00000234444.10,ZNF736,protein_coding,chr7,64306459,+,0
ENSG00000287985.1,AC073270.2,lncRNA,chr7,64368241,+,0
ENSG00000173041.12,ZNF680,protein_coding,chr7,64562076,-,1
ENSG00000286456.1,AC016769.5,lncRNA,chr7,64611535,+,0
ENSG00000287317.1,AC016769.6,lncRNA,chr7,64650655,+,1
ENSG00000196247.11,ZNF107,protein_coding,chr7,64665083,+,6
ENSG00000197008.9,ZNF138,protein_coding,chr7,64793388,+,5
ENSG00000287580.1,AC073349.4,lncRNA,chr7,64803118,-,0
ENSG00000287869.1,AC073349.5,lncRNA,chr7,64869077,-,0
ENSG00000198039.11,ZNF273,protein_coding,chr7,64869172,+,1
ENSG00000189316.3,AC073349.1,lncRNA,chr7,64889101,-,1
ENSG00000286342.1,AC073210.3,lncRNA,chr7,64946571,+,4
ENSG00000152926.15,ZNF117,protein_coding,chr7,65005685,-,1
ENSG00000213462.5,ERV3-1,protein_coding,chr7,65005744,-,1
ENSG00000282381.1,AC104073.4,lncRNA,chr7,65268374,+,2
ENSG00000146757.13,ZNF92,protein_coding,chr7,65372799,+,5
ENSG00000238124.1,AC114501.3,lncRNA,chr7,65462071,+,0
ENSG00000236529.2,AC093582.1,lncRNA,chr7,65839055,+,1
ENSG00000196715.7,VKORC1L1,protein_coding,chr7,65872074,+,2
ENSG00000169919.17,GUSB,protein_coding,chr7,65981216,-,2
ENSG00000126522.17,ASL,protein_coding,chr7,66074800,+,4
ENSG00000249319.2,AC068533.4,protein_coding,chr7,66086761,+,0
ENSG00000241258.7,CRCP,protein_coding,chr7,66113604,+,6
ENSG00000234185.2,AC068533.3,lncRNA,chr7,66164012,-,0
ENSG00000169902.15,TPST1,protein_coding,chr7,66204317,+,6
ENSG00000179406.8,LINC00174,lncRNA,chr7,66492567,-,1
ENSG00000237310.2,AC008267.5,lncRNA,chr7,66492607,+,5
ENSG00000243335.9,KCTD7,protein_coding,chr7,66627767,+,5
ENSG00000284461.2,AC027644.4,protein_coding,chr7,66627958,+,5
ENSG00000226824.7,AC006001.2,lncRNA,chr7,66653538,+,6
ENSG00000154710.17,RABGEF1,protein_coding,chr7,66681164,+,6
ENSG00000272831.1,AC027644.3,lncRNA,chr7,66739386,-,2
ENSG00000273142.1,LINC02604,lncRNA,chr7,66901857,+,0
ENSG00000106609.16,TMEM248,protein_coding,chr7,66920225,+,5
ENSG00000126524.10,SBDS,protein_coding,chr7,66994588,-,2
ENSG00000198874.13,TYW1,protein_coding,chr7,66994173,+,5
ENSG00000230358.4,SPDYE21P,protein_coding,chr7,67277714,+,0
ENSG00000273448.1,AC006480.2,lncRNA,chr7,67332047,+,0
ENSG00000233423.1,AC005482.1,lncRNA,chr7,67696030,-,0
ENSG00000225209.2,AC092637.1,lncRNA,chr7,68019235,+,0
ENSG00000236531.2,AC006013.1,lncRNA,chr7,68090223,+,0
ENSG00000226829.2,AC093655.1,lncRNA,chr7,68318677,-,0
ENSG00000233689.2,AC104688.1,lncRNA,chr7,69025433,+,0
ENSG00000286466.1,AC069280.2,lncRNA,chr7,69173451,-,0
ENSG00000225718.2,AC092100.1,lncRNA,chr7,69429924,-,0
ENSG00000236839.1,AC069280.1,lncRNA,chr7,69188319,-,0
ENSG00000234215.3,CT66,lncRNA,chr7,69596494,-,0
ENSG00000158321.18,AUTS2,protein_coding,chr7,69597296,+,1
ENSG00000185274.12,GALNT17,protein_coding,chr7,71131144,+,0
ENSG00000183166.11,CALN1,protein_coding,chr7,72446152,-,0
ENSG00000277149.5,TYW1B,protein_coding,chr7,72827201,-,2
ENSG00000196313.11,POM121,protein_coding,chr7,72878365,+,5
ENSG00000272843.1,AC211476.2,lncRNA,chr7,72924126,-,1
ENSG00000285886.1,AC211476.6,lncRNA,chr7,72953797,+,0
ENSG00000155428.12,TRIM74,protein_coding,chr7,72968467,-,0
ENSG00000273520.5,SPDYE8P,protein_coding,chr7,73028767,-,0
ENSG00000285702.1,AC211476.5,lncRNA,chr7,73038696,+,0
ENSG00000275976.5,SPDYE11,lncRNA,chr7,73052982,-,0
ENSG00000286228.1,SPDYE17,protein_coding,chr7,73056912,-,0
ENSG00000262461.6,SPDYE9P,protein_coding,chr7,73085039,-,0
ENSG00000130305.17,NSUN5,protein_coding,chr7,73307827,-,2
ENSG00000146755.11,TRIM50,protein_coding,chr7,73327083,-,0
ENSG00000077800.13,FKBP6,protein_coding,chr7,73327161,+,0
ENSG00000188763.5,FZD9,protein_coding,chr7,73432778,+,3
ENSG00000009954.11,BAZ1B,protein_coding,chr7,73521294,-,2
ENSG00000106635.8,BCL7B,protein_coding,chr7,73556691,-,2
ENSG00000106638.17,TBL2,protein_coding,chr7,73577792,-,1
ENSG00000009950.16,MLXIPL,protein_coding,chr7,73623544,-,1
ENSG00000274080.1,AC005089.1,lncRNA,chr7,73610503,-,0
ENSG00000176428.6,VPS37D,protein_coding,chr7,73666831,+,5
ENSG00000176410.8,DNAJC30,protein_coding,chr7,73682454,-,2
ENSG00000071462.11,BUD23,protein_coding,chr7,73682025,+,6
ENSG00000106089.12,STX1A,protein_coding,chr7,73718673,-,0
ENSG00000106077.18,ABHD11,protein_coding,chr7,73737868,-,2
ENSG00000165215.6,CLDN3,protein_coding,chr7,73769271,-,0
ENSG00000189143.9,CLDN4,protein_coding,chr7,73798542,+,1
ENSG00000165171.11,METTL27,protein_coding,chr7,73841517,-,0
ENSG00000175877.4,TMEM270,protein_coding,chr7,73860159,+,0
ENSG00000261467.2,AC099398.1,lncRNA,chr7,73984992,+,1
ENSG00000049540.17,ELN,protein_coding,chr7,74026789,+,3
ENSG00000232415.1,ELN-AS1,lncRNA,chr7,74061285,-,0
ENSG00000106683.15,LIMK1,protein_coding,chr7,74081933,+,2
ENSG00000106682.14,EIF4H,protein_coding,chr7,74173245,+,4
ENSG00000086730.17,LAT2,protein_coding,chr7,74198652,+,0
ENSG00000049541.11,RFC2,protein_coding,chr7,74253459,-,2
ENSG00000287815.1,AC005081.1,lncRNA,chr7,74288287,-,0
ENSG00000106665.15,CLIP2,protein_coding,chr7,74288475,+,4
ENSG00000006704.10,GTF2IRD1,protein_coding,chr7,74452790,+,4
ENSG00000273069.1,AC211433.2,lncRNA,chr7,74605913,+,0
ENSG00000263001.6,GTF2I,protein_coding,chr7,74649231,+,0
ENSG00000232729.8,AC211433.1,lncRNA,chr7,74728002,-,0
ENSG00000158517.15,NCF1,protein_coding,chr7,74772962,+,0
ENSG00000196275.14,GTF2IRD2,protein_coding,chr7,74850552,-,0
ENSG00000274070.2,CASTOR2,protein_coding,chr7,74963705,+,1
ENSG00000274523.5,RCC1L,protein_coding,chr7,75073229,-,2
ENSG00000174428.18,GTF2IRD2B,protein_coding,chr7,75091573,+,5
ENSG00000277675.1,AC211486.5,lncRNA,chr7,75224433,+,0
ENSG00000263081.1,AC211486.2,lncRNA,chr7,75231928,+,0
ENSG00000286038.1,AC211486.7,protein_coding,chr7,75280243,+,0
ENSG00000286137.1,AC211486.8,protein_coding,chr7,75308171,+,0
ENSG00000286014.1,AC211486.6,protein_coding,chr7,75336138,+,0
ENSG00000178809.11,TRIM73,protein_coding,chr7,75394063,+,0
ENSG00000272391.6,POM121C,protein_coding,chr7,75485300,-,1
ENSG00000170092.14,SPDYE5,protein_coding,chr7,75492625,+,0
ENSG00000127946.17,HIP1,protein_coding,chr7,75737963,-,1
ENSG00000006606.8,CCL26,protein_coding,chr7,75788897,-,0
ENSG00000106178.6,CCL24,protein_coding,chr7,75822357,-,0
ENSG00000005486.17,RHBDD2,protein_coding,chr7,75841602,+,1
ENSG00000127948.16,POR,protein_coding,chr7,75898200,+,1
ENSG00000189077.11,TMEM120A,protein_coding,chr7,75993657,-,2
ENSG00000127952.17,STYXL1,protein_coding,chr7,76047005,-,2
ENSG00000146701.12,MDH2,protein_coding,chr7,76047051,+,6
ENSG00000177679.16,SRRM3,protein_coding,chr7,76200896,+,4
ENSG00000106211.9,HSPB1,protein_coding,chr7,76301673,+,5
ENSG00000170027.7,YWHAG,protein_coding,chr7,76357992,-,3
ENSG00000146700.9,SSC4D,protein_coding,chr7,76408698,-,1
ENSG00000188372.15,ZP3,protein_coding,chr7,76396518,+,0
ENSG00000091073.19,DTX2,protein_coding,chr7,76460676,+,2
ENSG00000250614.1,AC005522.1,lncRNA,chr7,76477857,-,0
ENSG00000243566.6,UPK3B,protein_coding,chr7,76509428,+,0
ENSG00000185040.13,SPDYE16,protein_coding,chr7,76540460,-,0
ENSG00000146707.14,POMZP3,protein_coding,chr7,76626262,-,0
ENSG00000285666.1,AC006972.1,lncRNA,chr7,76902042,-,0
ENSG00000231183.4,AC007003.1,lncRNA,chr7,76901480,+,0
ENSG00000265479.6,DTX2P1-UPK3BP1-PMS2P11,lncRNA,chr7,76958835,+,0
ENSG00000283398.1,AC114737.3,lncRNA,chr7,76959571,+,0
ENSG00000225703.1,AC114737.1,lncRNA,chr7,76975962,-,0
ENSG00000259628.1,AC007000.3,lncRNA,chr7,77042721,+,0
ENSG00000135205.15,CCDC146,protein_coding,chr7,77121434,+,6
ENSG00000127951.7,FGL2,protein_coding,chr7,77198849,-,0
ENSG00000250990.1,AC098851.1,lncRNA,chr7,77257124,-,0
ENSG00000186088.16,GSAP,protein_coding,chr7,77415350,-,1
ENSG00000273341.2,AC004921.1,lncRNA,chr7,77415673,+,5
ENSG00000287519.1,AC004921.2,lncRNA,chr7,77497966,-,0
ENSG00000127947.16,PTPN12,protein_coding,chr7,77536295,+,6
ENSG00000214293.9,APTR,lncRNA,chr7,77695268,-,1
ENSG00000187257.16,RSBN1L,protein_coding,chr7,77695459,+,5
ENSG00000135211.6,TMEM60,protein_coding,chr7,77797435,-,3
ENSG00000006576.16,PHTF2,protein_coding,chr7,77797792,+,8
ENSG00000232756.1,AC004990.1,lncRNA,chr7,77989384,+,2
ENSG00000187391.21,MAGI2,protein_coding,chr7,79452668,-,2
ENSG00000285892.1,AC006043.1,lncRNA,chr7,78448000,-,0
ENSG00000251276.1,MAGI2-AS1,lncRNA,chr7,78938850,+,0
ENSG00000226978.1,MAGI2-AS2,lncRNA,chr7,79007988,+,0
ENSG00000281120.1,AC006355.2,lncRNA,chr7,79138829,+,0
ENSG00000286855.1,AC074024.1,lncRNA,chr7,79356595,-,0
ENSG00000234456.8,MAGI2-AS3,lncRNA,chr7,79451877,+,6
ENSG00000287488.1,AC073048.1,lncRNA,chr7,79656947,+,0
ENSG00000127955.17,GNAI1,protein_coding,chr7,79767028,+,0
ENSG00000234223.2,AC003988.1,lncRNA,chr7,80311457,-,0
ENSG00000232667.10,AC004862.1,lncRNA,chr7,80390475,-,0
ENSG00000135218.19,CD36,protein_coding,chr7,80368575,+,0
ENSG00000214415.4,GNAT3,protein_coding,chr7,80511065,-,0
ENSG00000075223.14,SEMA3C,protein_coding,chr7,80921360,-,0
ENSG00000237896.6,AC005008.2,lncRNA,chr7,81174508,+,0
ENSG00000019991.18,HGF,protein_coding,chr7,81769439,-,0
ENSG00000153956.16,CACNA2D1,protein_coding,chr7,82442778,-,0
ENSG00000223770.5,AC006145.1,lncRNA,chr7,82008177,+,0
ENSG00000186472.20,PCLO,protein_coding,chr7,83161931,-,0
ENSG00000235503.2,AC079799.1,lncRNA,chr7,83354154,+,0
ENSG00000170381.14,SEMA3E,protein_coding,chr7,83648140,-,0
ENSG00000075213.11,SEMA3A,protein_coding,chr7,84491725,-,0
ENSG00000235139.2,AC003984.1,lncRNA,chr7,84531476,+,0
ENSG00000232019.1,AC074183.1,lncRNA,chr7,84939246,-,0
ENSG00000153993.13,SEMA3D,protein_coding,chr7,85185856,-,1
ENSG00000225128.1,LINC00972,lncRNA,chr7,85420122,+,0
ENSG00000198822.10,GRM3,protein_coding,chr7,86642914,+,0
ENSG00000231255.1,AC005009.1,lncRNA,chr7,86775023,-,0
ENSG00000233073.2,AC005009.2,lncRNA,chr7,86802410,-,0
ENSG00000164659.15,KIAA1324L,protein_coding,chr7,87058655,-,0
ENSG00000261462.1,AC004023.1,lncRNA,chr7,87108539,+,0
ENSG00000224046.2,AC005076.1,lncRNA,chr7,87151421,-,1
ENSG00000135164.18,DMTF1,protein_coding,chr7,87151361,+,5
ENSG00000135185.12,TMEM243,protein_coding,chr7,87219588,-,0
ENSG00000182165.18,TP53TG1,lncRNA,chr7,87344529,-,2
ENSG00000005469.11,CROT,protein_coding,chr7,87344681,+,6
ENSG00000005471.17,ABCB4,protein_coding,chr7,87479436,-,0
ENSG00000085563.14,ABCB1,protein_coding,chr7,87712324,-,0
ENSG00000105784.15,RUNDC3B,protein_coding,chr7,87626548,+,5
ENSG00000075303.13,SLC25A40,protein_coding,chr7,87875361,-,2
ENSG00000006634.8,DBF4,protein_coding,chr7,87875216,+,6
ENSG00000008277.14,ADAM22,protein_coding,chr7,87933143,+,5
ENSG00000075142.13,SRI,protein_coding,chr7,88225994,-,0
ENSG00000254003.1,AC003991.2,lncRNA,chr7,88215660,+,0
ENSG00000228113.7,AC003991.1,lncRNA,chr7,88218359,+,0
ENSG00000127954.12,STEAP4,protein_coding,chr7,88305892,-,0
ENSG00000233420.2,AC002069.2,lncRNA,chr7,88419167,+,0
ENSG00000182348.7,ZNF804B,protein_coding,chr7,88758700,+,1
ENSG00000164645.3,TEX47,protein_coding,chr7,88794738,-,0
ENSG00000227863.3,AC002383.1,lncRNA,chr7,89442946,+,0
ENSG00000227646.7,STEAP2-AS1,lncRNA,chr7,90210636,-,1
ENSG00000238358.2,AC004969.1,lncRNA,chr7,90121891,-,0
ENSG00000164647.9,STEAP1,protein_coding,chr7,90153456,+,6
ENSG00000157214.14,STEAP2,protein_coding,chr7,90166590,+,0
ENSG00000105792.19,CFAP69,protein_coding,chr7,90244174,+,4
ENSG00000234459.1,AC002064.2,lncRNA,chr7,90269217,-,0
ENSG00000225498.1,AC002064.1,lncRNA,chr7,90311496,+,1
ENSG00000283267.1,FAM237B,protein_coding,chr7,90320309,-,0
ENSG00000105793.15,GTPBP10,protein_coding,chr7,90334223,+,0
ENSG00000157224.16,CLDN12,protein_coding,chr7,90382721,+,0
ENSG00000273299.1,AC006153.1,lncRNA,chr7,90402434,+,4
ENSG00000058091.17,CDK14,protein_coding,chr7,90465424,+,0
ENSG00000223969.6,AC002456.1,lncRNA,chr7,90596354,-,0
ENSG00000286411.1,AC002458.1,lncRNA,chr7,91032726,-,1
ENSG00000157240.4,FZD1,protein_coding,chr7,91263433,+,3
ENSG00000243144.7,AC079760.2,lncRNA,chr7,91310368,+,0
ENSG00000235450.1,AC079760.1,lncRNA,chr7,91555849,-,0
ENSG00000223665.1,AC000058.1,lncRNA,chr7,91642513,-,0
ENSG00000127989.14,MTERF1,protein_coding,chr7,91879703,-,3
ENSG00000287672.1,AC003086.1,lncRNA,chr7,91879791,+,7
ENSG00000127914.16,AKAP9,protein_coding,chr7,91939867,+,5
ENSG00000001630.17,CYP51A1,protein_coding,chr7,92133804,-,2
ENSG00000285772.1,AC000120.2,protein_coding,chr7,92178512,-,1
ENSG00000285953.1,AC000120.3,protein_coding,chr7,92244925,-,2
ENSG00000188693.8,CYP51A1-AS1,lncRNA,chr7,92133604,+,6
ENSG00000240720.8,LRRD1,protein_coding,chr7,92178532,-,1
ENSG00000001631.15,KRIT1,protein_coding,chr7,92245167,-,2
ENSG00000243107.1,AC000120.1,lncRNA,chr7,92205858,-,0
ENSG00000001629.10,ANKIB1,protein_coding,chr7,92244974,+,6
ENSG00000157259.8,GATAD1,protein_coding,chr7,92446482,+,6
ENSG00000244055.2,AC007566.1,lncRNA,chr7,92456564,+,0
ENSG00000242950.7,ERVW-1,protein_coding,chr7,92476987,-,0
ENSG00000127980.16,PEX1,protein_coding,chr7,92527521,-,3
ENSG00000127993.16,RBM48,protein_coding,chr7,92527773,+,7
ENSG00000234545.8,FAM133B,protein_coding,chr7,92589394,-,2
ENSG00000105810.9,CDK6,protein_coding,chr7,92835595,-,1
ENSG00000287932.1,AC000065.2,lncRNA,chr7,92641317,-,0
ENSG00000286742.1,AC000065.1,lncRNA,chr7,92646906,+,0
ENSG00000237819.5,AC002454.1,lncRNA,chr7,92835483,+,5
ENSG00000205413.8,SAMD9,protein_coding,chr7,93117024,-,0
ENSG00000177409.12,SAMD9L,protein_coding,chr7,93147386,-,0
ENSG00000188175.10,HEPACAM2,protein_coding,chr7,93225470,-,0
ENSG00000004766.17,VPS50,protein_coding,chr7,93231340,+,4
ENSG00000004948.15,CALCR,protein_coding,chr7,93573731,-,0
ENSG00000127928.13,GNGT1,protein_coding,chr7,93590573,+,0
ENSG00000105825.14,TFPI2,protein_coding,chr7,93889754,-,0
ENSG00000234695.1,AC002076.1,lncRNA,chr7,93889913,+,1
ENSG00000127920.6,GNG11,protein_coding,chr7,93920735,+,1
ENSG00000105829.13,BET1,protein_coding,chr7,94003383,-,1
ENSG00000236861.6,AC006378.1,lncRNA,chr7,93968442,+,0
ENSG00000236453.5,AC003092.1,lncRNA,chr7,94021833,+,0
ENSG00000236938.1,AC003092.2,lncRNA,chr7,94076158,-,0
ENSG00000285090.1,AC002074.1,lncRNA,chr7,94394609,-,1
ENSG00000285964.1,AC002074.2,lncRNA,chr7,94310138,+,0
ENSG00000164692.17,COL1A2,protein_coding,chr7,94393561,+,2
ENSG00000127995.17,CASD1,protein_coding,chr7,94508219,+,6
ENSG00000127990.19,SGCE,protein_coding,chr7,94655573,-,1
ENSG00000242265.5,PEG10,protein_coding,chr7,94655325,+,5
ENSG00000158528.12,PPP1R9A,protein_coding,chr7,94906202,+,5
ENSG00000236197.4,AC002429.2,lncRNA,chr7,95213339,-,0
ENSG00000005421.9,PON1,protein_coding,chr7,95323533,-,0
ENSG00000105852.11,PON3,protein_coding,chr7,95395376,-,1
ENSG00000105854.13,PON2,protein_coding,chr7,95434330,-,0
ENSG00000273138.1,AC005021.1,lncRNA,chr7,95415108,+,0
ENSG00000233942.1,AC004012.1,lncRNA,chr7,95470835,+,0
ENSG00000005981.13,ASB4,protein_coding,chr7,95477444,+,3
ENSG00000231170.7,AC002451.1,lncRNA,chr7,95544191,+,2
ENSG00000004799.8,PDK4,protein_coding,chr7,95595517,-,1
ENSG00000158560.14,DYNC1I1,protein_coding,chr7,95771506,+,2
ENSG00000004864.13,SLC25A13,protein_coding,chr7,96321148,-,2
ENSG00000127922.9,SEM1,protein_coding,chr7,96708892,-,1
ENSG00000231764.10,DLX6-AS1,lncRNA,chr7,97013089,-,0
ENSG00000006377.11,DLX6,protein_coding,chr7,97004553,+,6
ENSG00000105880.7,DLX5,protein_coding,chr7,97023951,-,0
ENSG00000196636.7,SDHAF3,protein_coding,chr7,97115590,+,6
ENSG00000006128.12,TAC1,protein_coding,chr7,97731084,+,0
ENSG00000070669.17,ASNS,protein_coding,chr7,97871543,-,0
ENSG00000284707.2,AC079781.5,lncRNA,chr7,97971986,-,2
ENSG00000285725.1,AC004967.2,lncRNA,chr7,97969405,-,1
ENSG00000135175.5,OCM2,protein_coding,chr7,97990170,-,0
ENSG00000164715.6,LMTK2,protein_coding,chr7,98105862,+,7
ENSG00000180535.3,BHLHA15,protein_coding,chr7,98210427,+,5
ENSG00000205356.10,TECPR1,protein_coding,chr7,98251233,-,2
ENSG00000164713.10,BRI3,protein_coding,chr7,98251379,+,6
ENSG00000006453.14,BAIAP2L1,protein_coding,chr7,98400091,-,2
ENSG00000272950.1,AC093799.1,lncRNA,chr7,98321853,+,1
ENSG00000106236.4,NPTX2,protein_coding,chr7,98616285,+,0
ENSG00000166448.14,TMEM130,protein_coding,chr7,98869772,-,0
ENSG00000196367.13,TRRAP,protein_coding,chr7,98876933,+,6
ENSG00000286305.1,AC004893.3,lncRNA,chr7,98992779,-,0
ENSG00000198742.9,SMURF1,protein_coding,chr7,99143101,-,0
ENSG00000185467.7,KPNA7,protein_coding,chr7,99206507,-,0
ENSG00000284523.2,AC004834.1,lncRNA,chr7,99324827,-,2
ENSG00000284292.1,AC004922.1,protein_coding,chr7,99324879,+,6
ENSG00000241685.10,ARPC1A,protein_coding,chr7,99324898,+,6
ENSG00000130429.15,ARPC1B,protein_coding,chr7,99373249,+,5
ENSG00000106244.13,PDAP1,protein_coding,chr7,99407598,-,2
ENSG00000106245.11,BUD31,protein_coding,chr7,99407641,+,6
ENSG00000106246.17,PTCD1,protein_coding,chr7,99465164,-,2
ENSG00000248919.7,ATP5MF-PTCD1,protein_coding,chr7,99465198,-,2
ENSG00000160917.15,CPSF4,protein_coding,chr7,99437922,+,6
ENSG00000241468.7,ATP5MF,protein_coding,chr7,99465332,-,2
ENSG00000198556.14,ZNF789,protein_coding,chr7,99471890,+,6
ENSG00000160908.15,ZNF394,protein_coding,chr7,99503858,-,2
ENSG00000196652.11,ZKSCAN5,protein_coding,chr7,99503651,+,6
ENSG00000221909.3,FAM200A,protein_coding,chr7,99557537,-,2
ENSG00000197343.11,ZNF655,protein_coding,chr7,99557406,+,6
ENSG00000272647.3,AC005020.2,protein_coding,chr7,99557695,+,6
ENSG00000244219.7,TMEM225B,protein_coding,chr7,99597267,+,1
ENSG00000197037.11,ZSCAN25,protein_coding,chr7,99615946,+,6
ENSG00000106258.15,CYP3A5,protein_coding,chr7,99678999,-,0
ENSG00000160870.14,CYP3A7,protein_coding,chr7,99734197,-,0
ENSG00000282301.2,CYP3A7-CYP3A51P,protein_coding,chr7,99734094,-,0
ENSG00000160868.15,CYP3A4,protein_coding,chr7,99783249,-,0
ENSG00000273407.1,AC069294.1,lncRNA,chr7,99765543,+,0
ENSG00000021461.16,CYP3A43,protein_coding,chr7,99827013,+,2
ENSG00000244623.1,OR2AE1,protein_coding,chr7,99876058,-,0
ENSG00000146833.15,TRIM4,protein_coding,chr7,99918601,-,2
ENSG00000176402.6,GJC3,protein_coding,chr7,99928621,-,1
ENSG00000237640.1,AC004522.3,lncRNA,chr7,99928392,+,3
ENSG00000160862.13,AZGP1,protein_coding,chr7,99975043,-,0
ENSG00000286921.1,AC004522.4,lncRNA,chr7,99973976,+,1
ENSG00000286923.1,AC004522.5,lncRNA,chr7,99996690,+,5
ENSG00000106261.17,ZKSCAN1,protein_coding,chr7,100014572,+,5
ENSG00000166529.15,ZSCAN21,protein_coding,chr7,100048774,+,4
ENSG00000166526.17,ZNF3,protein_coding,chr7,100081549,-,3
ENSG00000168090.10,COPS6,protein_coding,chr7,100087969,+,6
ENSG00000166508.17,MCM7,protein_coding,chr7,100100941,-,2
ENSG00000221838.10,AP4M1,protein_coding,chr7,100100549,+,6
ENSG00000106290.15,TAF6,protein_coding,chr7,100118842,-,0
ENSG00000242798.1,AC073842.2,lncRNA,chr7,100126140,-,1
ENSG00000166997.8,CNPY4,protein_coding,chr7,100118634,+,2
ENSG00000214309.5,MBLAC1,protein_coding,chr7,100125785,+,5
ENSG00000235077.1,AC073842.1,lncRNA,chr7,100129964,+,4
ENSG00000188186.10,LAMTOR4,protein_coding,chr7,100147907,+,6
ENSG00000146826.17,MAP11,protein_coding,chr7,100157724,-,2
ENSG00000197093.11,GAL3ST4,protein_coding,chr7,100167618,-,1
ENSG00000213420.8,GPC2,protein_coding,chr7,100176382,-,0
ENSG00000066923.17,STAG3,protein_coding,chr7,100176563,+,1
ENSG00000239521.8,CASTOR3,protein_coding,chr7,100271233,-,0
ENSG00000213413.2,PVRIG,protein_coding,chr7,100217241,+,2
ENSG00000214300.7,SPDYE3,protein_coding,chr7,100306702,+,0
ENSG00000272752.6,STAG3L5P-PVRIG2P-PILRB,lncRNA,chr7,100335104,+,5
ENSG00000121716.20,PILRB,protein_coding,chr7,100351176,+,0
ENSG00000085514.16,PILRA,protein_coding,chr7,100366530,+,0
ENSG00000287631.1,AC005071.1,lncRNA,chr7,100397367,-,0
ENSG00000078487.17,ZCWPW1,protein_coding,chr7,100427993,-,2
ENSG00000146834.14,MEPCE,protein_coding,chr7,100427790,+,6
ENSG00000241357.1,AC092849.2,lncRNA,chr7,100434257,+,5
ENSG00000160813.7,PPP1R35,protein_coding,chr7,100435498,-,2
ENSG00000240211.1,AC092849.1,lncRNA,chr7,100435204,+,6
ENSG00000185955.5,C7orf61,protein_coding,chr7,100463261,-,0
ENSG00000166925.9,TSC22D4,protein_coding,chr7,100478233,-,1
ENSG00000286938.1,AC092849.3,lncRNA,chr7,100482834,-,0
ENSG00000166924.9,NYAP1,protein_coding,chr7,100482927,+,4
ENSG00000225807.2,AC069281.1,lncRNA,chr7,100508416,+,1
ENSG00000106351.13,AGFG2,protein_coding,chr7,100538203,+,4
ENSG00000205307.12,SAP25,protein_coding,chr7,100572901,-,1
ENSG00000274272.1,AC069281.2,lncRNA,chr7,100577701,-,1
ENSG00000077454.16,LRCH4,protein_coding,chr7,100585130,-,3
ENSG00000106336.13,FBXO24,protein_coding,chr7,100582982,+,2
ENSG00000224729.6,PCOLCE-AS1,lncRNA,chr7,100603207,-,0
ENSG00000106333.13,PCOLCE,protein_coding,chr7,100601363,+,4
ENSG00000106330.12,MOSPD3,protein_coding,chr7,100611102,+,7
ENSG00000106327.13,TFR2,protein_coding,chr7,100641780,-,0
ENSG00000077080.10,ACTL6B,protein_coding,chr7,100655449,-,0
ENSG00000172354.10,GNB2,protein_coding,chr7,100672567,+,6
ENSG00000146830.10,GIGYF1,protein_coding,chr7,100693038,-,0
ENSG00000172336.5,POP7,protein_coding,chr7,100705121,+,7
ENSG00000130427.3,EPO,protein_coding,chr7,100719468,+,5
ENSG00000146839.19,ZAN,protein_coding,chr7,100732595,+,0
ENSG00000196411.10,EPHB4,protein_coding,chr7,100826524,-,2
ENSG00000146828.18,SLC12A9,protein_coding,chr7,100825820,+,6
ENSG00000236305.1,SLC12A9-AS1,lncRNA,chr7,100851617,-,3
